--- CSMA Channel Emulation Trace Started at 2026-09-25 16:27:53.808406 ---
Time       | Event        | Details
[  2.213s] | TX_ABORT     | Station st_1 aborted/ended due to collision.
[  2.218s] | TX_START     | Station st_3 (pos:  779.5m) started transmitting: "roviding a significantly larger file,..."
[  2.353s] | SUCCESS      | Station st_3 transmission delivered cleanly.
[  2.357s] | TX_START     | Station st_4 (pos:  685.6m) started transmitting: "/CD collisions over a shared bus netw..."
[  2.359s] | COLLISION    | Stations ['st_4', 'st_1'] collided on wire! (Active signals interfered)
[  2.371s] | TX_ABORT     | Station st_4 aborted/ended due to collision.
[  2.484s] | TX_ABORT     | Station st_1 aborted/ended due to collision.
[  2.485s] | TX_START     | Station st_4 (pos:  685.6m) started transmitting: "/CD collisions over a shared bus netw..."
[  2.562s] | SUCCESS      | Station st_4 transmission delivered cleanly.
[  2.570s] | TX_START     | Station st_0 (pos:  859.1m) started transmitting: "This is a long stream of data for tes..."
[  2.738s] | SUCCESS      | Station st_0 transmission delivered cleanly.
[  2.741s] | TX_START     | Station st_4 (pos:  685.6m) started transmitting: "roviding a significantly larger file,..."
[  2.742s] | COLLISION    | Stations ['st_4', 'st_2'] collided on wire! (Active signals interfered)
[  2.753s] | TX_ABORT     | Station st_4 aborted/ended due to collision.
[  2.818s] | TX_ABORT     | Station st_2 aborted/ended due to collision.
[  2.825s] | TX_START     | Station st_1 (pos:  999.3m) started transmitting: "/CD collisions over a shared bus netw..."
[  2.830s] | COLLISION    | Stations ['st_1', 'st_4'] collided on wire! (Active signals interfered)
[  2.837s] | TX_ABORT     | Station st_1 aborted/ended due to collision.
[  2.952s] | TX_ABORT     | Station st_4 aborted/ended due to collision.
[  2.954s] | TX_START     | Station st_4 (pos:  685.6m) started transmitting: "roviding a significantly larger file,..."
[  2.954s] | COLLISION    | Stations ['st_4', 'st_0'] collided on wire! (Active signals interfered)
[  2.966s] | TX_ABORT     | Station st_4 aborted/ended due to collision.
[  2.967s] | TX_ABORT     | Station st_0 aborted/ended due to collision.
[  2.980s] | TX_START     | Station st_0 (pos:  859.1m) started transmitting: "/CD collisions over a shared bus netw..."
[  3.153s] | SUCCESS      | Station st_0 transmission delivered cleanly.
[  3.159s] | TX_START     | Station st_4 (pos:  685.6m) started transmitting: "roviding a significantly larger file,..."
[  3.249s] | SUCCESS      | Station st_4 transmission delivered cleanly.
[  3.255s] | TX_START     | Station st_0 (pos:  859.1m) started transmitting: "roviding a significantly larger file,..."
[  3.256s] | COLLISION    | Stations ['st_0', 'st_1'] collided on wire! (Active signals interfered)
[  3.269s] | TX_ABORT     | Station st_0 aborted/ended due to collision.
[  3.368s] | TX_ABORT     | Station st_1 aborted/ended due to collision.
[  3.379s] | TX_START     | Station st_0 (pos:  859.1m) started transmitting: "roviding a significantly larger file,..."
[  3.503s] | SUCCESS      | Station st_0 transmission delivered cleanly.
[  3.504s] | TX_START     | Station st_1 (pos:  999.3m) started transmitting: "/CD collisions over a shared bus netw..."
[  3.683s] | SUCCESS      | Station st_1 transmission delivered cleanly.
[  3.730s] | TX_START     | Station st_1 (pos:  999.3m) started transmitting: "roviding a significantly larger file,..."
[  3.828s] | SUCCESS      | Station st_1 transmission delivered cleanly.
[  5.165s] | TX_START     | Station st_2 (pos:  346.1m) started transmitting: "This is a long stream of data for tes..."
[  5.291s] | SUCCESS      | Station st_2 transmission delivered cleanly.
[  5.305s] | TX_START     | Station st_2 (pos:  346.1m) started transmitting: "/CD collisions over a shared bus netw..."
[  5.473s] | SUCCESS      | Station st_2 transmission delivered cleanly.
[  5.516s] | TX_START     | Station st_2 (pos:  346.1m) started transmitting: "roviding a significantly larger file,..."
[  5.592s] | SUCCESS      | Station st_2 transmission delivered cleanly.
